Nama Produk;Nama Motor;Merk Motor;Warna Motor;Tahun Pembuatan;Provinsi;Harga;Kapasitas Mesin;Rentang Harga;;;;;;;;;;;;;;;;
Megapro 2012;megapro;honda;hitam;2012;jawa barat;8.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
Mau jual butuh uang;vario;honda;abu-abu;2017;sumatera selatan;6.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
CB150R Tidak kecewa;cb150r;honda;merah;2016;banten;13.500.000,00;150;<15jt;;;;;;;;;;;;;;;;
Vario mulus;vario;honda;abu-abu;2018;banten;12.500.000,00;110;<15jt;;;;;;;;;;;;;;;;
Beat;beat;honda;hitam;2018;banten;12.500.000,00;110;<15jt;;;;;;;;;;;;;;;;
Jual CBR 150;cbr;honda;merah;2017;banten;18.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
PIAGGIO ZIP 2011;vespa;piaggio;kuning;2011;jakarta;11.800.000,00;150;<15jt;;;;;;;;;;;;;;;;
Benelli Patagonian eagle 2018;patagonian eagle;benelli;hitam;2018;jawa barat;31.000.000,00;250;30-45jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Kawasaki Vulcan 400 CC;vulcan;kawasaki;hitam;2001;jawa tengah;37.000.000,00;400;30-45jt;;;;;;;;;;;;;;;;
Yamaha nmax 2021;n-max;yamaha;putih;2021;sulawesi selatan;37.000.000,00;155;30-45jt;;;;;;;;;;;;;;;;
Jual motor YAMAHA BYSON 2015 FULL BODY ORI;byson;yamaha;merah;2015;banten;8.500.000,00;150;<15jt;;;;;;;;;;;;;;;;
Jual motor cb 150 r 2015;cb150r;honda;hitam;2015;jawa barat;11.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
Dijual/over kredit motor viar;viar;oto;merah;2019;jawa timur;12.500.000,00;100;<15jt;;;;;;;;;;;;;;;;
Honda CB150R 2015;cb150r;honda;hitam;2015;jawa barat;15.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
Vixion 2017;vixion;yamaha;emas;2017;jawa barat;13.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
Vespa px 150 (exclusive 1) tahun 1986;vespa;vespa;biru;1980;jakarta;10.500.000,00;150;<15jt;;;;;;;;;;;;;;;;
Honda CB150 Verza tahun 2021;cb150r;honda;hitam;2021;banten;8.000.000,00;125;<15jt;;;;;;;;;;;;;;;;
jual cepat;w175tr;kawasaki;kuning;2019;banten;25.000.000,00;175;15-30jt;;;;;;;;;;;;;;;;
Jual mio m3;mio;yamaha;merah;2018;jakarta;8.000.000,00;125;<15jt;;;;;;;;;;;;;;;;
